feature,importance
gene_PLEKHA8P1,0.0
gene_PLEKHA7,0.0
gene_PFKM,0.0
gene_PLK4,0.0
gene_RHEB,0.0
gene_RHD,0.0
gene_RHCE,0.0
gene_RHBDF1,0.0
gene_RHAG,0.0
gene_RGS9,0.0
gene_RGS6,0.0
gene_RGS22,0.0
gene_RGS20,0.0
gene_RGR,0.0
gene_RGPD8,0.0
gene_RGPD4,0.0
gene_PDZD7,0.0
gene_RGP1,0.0
gene_RGMB,0.0
gene_RGL4,0.0
gene_RGL3,0.0
gene_RGL2,0.0
gene_RFXAP,0.0
gene_RFXANK,0.0
gene_RFX8,0.0
gene_RFX7,0.0
gene_RFX6,0.0
gene_RFX5,0.0
gene_RFX4,0.0
gene_RFX3,0.0
gene_RGPD3,0.0
gene_RMC1,0.0
gene_RLN2,0.0
gene_RLIM,0.0
gene_RLBP1,0.0
gene_RIT1,0.0
gene_RIPOR2,0.0
gene_RIPOR1,0.0
gene_RIPK4,0.0
gene_RIPK1,0.0
gene_RIOX1,0.0
gene_RINT1,0.0
gene_RIN3,0.0
gene_RHO,0.0
gene_RIN1,0.0
gene_RIMS2,0.0
gene_RIMS1,0.0
gene_RIMBP2,0.0
gene_RILP,0.0
gene_RIGI,0.0
gene_RIF1,0.0
gene_RIC1,0.0
gene_RHPN2,0.0
gene_RHPN1,0.0
gene_RHOH,0.0
gene_RHOBTB2,0.0
gene_RHOA,0.0
gene_RIN2,0.0
gene_RECQL4,0.0
gene_RECQL,0.0
gene_REC114,0.0
gene_RDX,0.0
gene_RDH13,0.0
gene_RDH12,0.0
gene_RDH11,0.0
gene_RD3,0.0
gene_RCOR1,0.0
gene_RCHY1,0.0
gene_RCE1,0.0
gene_RCCD1,0.0
gene_RFWD3,0.0
gene_RCBTB1,0.0
gene_RBSN,0.0
gene_RBPJL,0.0
gene_RBPJ,0.0
gene_RBP4,0.0
gene_RBP3,0.0
gene_RBP1,0.0
gene_RBMS3,0.0
gene_RBM48,0.0
gene_RBM44,0.0
gene_RBM39,0.0
gene_RBM33,0.0
gene_RBM28,0.0
gene_RCC1,0.0
gene_RFT1,0.0
gene_RFPL2,0.0
gene_RFPL1S,0.0
gene_RFC4,0.0
gene_RFC2,0.0
gene_RFC1,0.0
gene_REXO4,0.0
gene_REV3L,0.0
gene_REV1,0.0
gene_RETSAT,0.0
gene_RETREG1,0.0
gene_RET,0.0
gene_REST,0.0
gene_RECQL5,0.0
gene_RER1,0.0
gene_REPS1,0.0
gene_RENBP,0.0
gene_REN,0.0
gene_RELT,0.0
gene_RELN,0.0
gene_RELB,0.0
gene_RELA,0.0
gene_REL,0.0
gene_REG1A,0.0
gene_REEP6,0.0
gene_REEP2,0.0
gene_REEP1,0.0
gene_RERE,0.0
gene_RPL26,0.0
gene_RPL23,0.0
gene_RPL21P49,0.0
gene_RPL19,0.0
gene_RPL18,0.0
gene_RPL13,0.0
gene_RPL12P1,0.0
gene_RPL11,0.0
gene_RPL10L,0.0
gene_RPIA,0.0
gene_RPGRIP1L,0.0
gene_RPGRIP1,0.0
gene_RMDN2,0.0
gene_RPE65,0.0
gene_RPAP1,0.0
gene_RPA1,0.0
gene_RP9,0.0
gene_RP2,0.0
gene_RP1L1,0.0
gene_RP1,0.0
gene_ROS1,0.0
gene_RORC,0.0
gene_RORB,0.0
gene_RORA,0.0
gene_ROR2,0.0
gene_ROR1,0.0
gene_RPGR,0.0
gene_RRAGD,0.0
gene_RPSA,0.0
gene_RPS7,0.0
gene_RPS6KC1,0.0
gene_RPS6KB1,0.0
gene_RPS6KA6,0.0
gene_RPS6KA3,0.0
gene_RPS6KA1,0.0
gene_RPS29,0.0
gene_RPS24,0.0
gene_RPS23,0.0
gene_RPS20P4,0.0
gene_RPS20,0.0
gene_RPL27,0.0
gene_RPS17,0.0
gene_RPS15AP1,0.0
gene_RPS11,0.0
gene_RPS10,0.0
gene_RPN2,0.0
gene_RPL7A,0.0
gene_RPL6,0.0
gene_RPL5,0.0
gene_RPL3L,0.0
gene_RPL39P31,0.0
gene_RPL36,0.0
gene_RPL35,0.0
gene_RPL31,0.0
gene_RPS19,0.0
gene_RNF216,0.0
gene_RNF215,0.0
gene_RNF207,0.0
gene_RNF19B,0.0
gene_RNF17,0.0
gene_RNF168,0.0
gene_RNF157,0.0
gene_RNF146,0.0
gene_RNF13,0.0
gene_RNF125,0.0
gene_RNASET2,0.0
gene_RNASEL,0.0
gene_ROGDI,0.0
gene_RNASEH2B,0.0
gene_RNASEH2A,0.0
gene_RNASEH1,0.0
gene_RNASE11,0.0
gene_RNA5SP477,0.0
gene_RNA5SP223,0.0
gene_RNA5SP155,0.0
gene_RN7SL354P,0.0
gene_RN7SKP214,0.0
gene_RN7SKP131,0.0
gene_RMND1,0.0
gene_RMI1,0.0
gene_RMDN3,0.0
gene_RNASEH2C,0.0
gene_ROCK2,0.0
gene_ROBO4,0.0
gene_ROBO3,0.0
gene_ROBO2,0.0
gene_ROBO1,0.0
gene_RNY4P10,0.0
gene_RNU6-554P,0.0
gene_RNU6-490P,0.0
gene_RNU6-290P,0.0
gene_RNU6-208P,0.0
gene_RNU6-1272P,0.0
gene_RNU6-1240P,0.0
gene_RNU6-1024P,0.0
gene_RNF220,0.0
gene_RNU4-32P,0.0
gene_RNU1-82P,0.0
gene_RNU1-19P,0.0
gene_RNPS1,0.0
gene_RNPEPL1,0.0
gene_RNPC3,0.0
gene_RNF6,0.0
gene_RNF43,0.0
gene_RNF4,0.0
gene_RNF31,0.0
gene_RNF26,0.0
gene_RNF25,0.0
gene_RNF227,0.0
gene_RNU5E-6P,0.0
gene_PTH2R,0.0
gene_PTH2,0.0
gene_PTH1R,0.0
gene_PTH,0.0
gene_PTGIS,0.0
gene_PTGFR,0.0
gene_PTGER2,0.0
gene_PTGDS,0.0
gene_PTF1A,0.0
gene_PTEN,0.0
gene_PTDSS2,0.0
gene_PTDSS1,0.0
gene_RBM20,0.0
gene_PTCHD4,0.0
gene_PTCHD3,0.0
gene_PTCHD1,0.0
gene_PTCH2,0.0
gene_PTCH1,0.0
gene_PTCD3,0.0
gene_PTCD2,0.0
gene_PTCD1,0.0
gene_PTBP1,0.0
