mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__colsample_bytree,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,param_model__reg_lambda,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
1.9516637325286865,0.042344370314771486,0.2521410783131917,0.006625463372560631,0.8,0.1,3,250,1,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 250, 'model__reg_lambda': 1, 'model__subsample': 0.8}",0.9701595686562697,0.9703743047249327,0.9674790190203184,0.9693376308005069,0.00131715759798335,11,0.9709624508877688,0.9707215328151462,0.9717135825802632,0.9711325220943928,0.00042247985798857864
1.9697996775309246,0.016112067071625668,0.2598898410797119,0.011751088267031428,0.8,0.1,3,250,2,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 250, 'model__reg_lambda': 2, 'model__subsample': 0.8}",0.970105772017739,0.9703206699449572,0.9673183700619088,0.9692482706748683,0.0013674629944308986,13,0.9706140359006059,0.9703730808273752,0.971552803803398,0.9708466401771263,0.0005089303404401355
2.1322549978892007,0.035754619882501754,0.2639375527699788,0.009472948376290593,0.8,0.1,5,150,1,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 150, 'model__reg_lambda': 1, 'model__subsample': 0.8}",0.9691415972451102,0.9705886356465827,0.9676937793152074,0.9691413374023,0.001181820162705154,15,0.9721677609625214,0.9722216396146386,0.9723299335826733,0.9722397780532778,6.743758545958542e-05
2.1977179845174155,0.020109871333161382,0.26173607508341473,0.0084102324885804,0.8,0.1,5,150,2,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 150, 'model__reg_lambda': 2, 'model__subsample': 0.8}",0.9696239300472265,0.9704279377528389,0.9674794282361272,0.9691770986787308,0.0012445001128802847,14,0.9715785274149216,0.9716591801805481,0.9721424731848733,0.9717933935934476,0.00024902294139729497
3.1583235263824463,0.05325060267102834,0.35045448939005536,0.030754719181742156,0.8,0.1,5,250,1,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 250, 'model__reg_lambda': 1, 'model__subsample': 0.8}",0.970160054745258,0.9714461190095458,0.9684440190715187,0.9700167309421075,0.0012297851557318946,4,0.9739093207015357,0.9741505566698504,0.9749819950493245,0.9743472908069034,0.00045948217565179177
3.2304932276407876,0.05111497107825979,0.3419013023376465,0.0048007835198371806,0.8,0.1,5,250,2,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 250, 'model__reg_lambda': 2, 'model__subsample': 0.8}",0.9697850668344223,0.971070994644097,0.9683905075140762,0.9697488563308653,0.0010946037986345133,7,0.9735342625392835,0.9736683376082427,0.9746069386150693,0.9739365129208651,0.0004772120350647202
1.3287463188171387,0.054618506601033324,0.20765789349873862,0.007103409563850305,0.8,0.2,3,150,1,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.2, 'model__max_depth': 3, 'model__n_estimators': 150, 'model__reg_lambda': 1, 'model__subsample': 0.8}",0.9700527417534515,0.9710172937368715,0.9681761196438781,0.969748718378067,0.0011796582036786196,8,0.9718734976761935,0.9717394902700247,0.9716603065213156,0.9717577648225113,8.798896362981816e-05
1.3233678340911865,0.007461486588442253,0.21168065071105957,0.009063576534080065,0.8,0.2,3,150,2,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.2, 'model__max_depth': 3, 'model__n_estimators': 150, 'model__reg_lambda': 2, 'model__subsample': 0.8}",0.9702669460249581,0.9703743047249327,0.9674795693683881,0.969373606706093,0.0013400036194180466,10,0.97139122478601,0.971391138406362,0.9719013555936343,0.9715612395953355,0.00024049833137256845
1.916120131810506,0.020301811275122275,0.2554312547047933,0.0043380943017330325,0.8,0.2,3,250,1,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.2, 'model__max_depth': 3, 'model__n_estimators': 250, 'model__reg_lambda': 1, 'model__subsample': 0.8}",0.970588675149461,0.9706425886621421,0.969086925304357,0.9701060630386534,0.0007209752459053664,2,0.972945059575769,0.9733470167966876,0.9740712617656401,0.9734544460460323,0.0004660033088785557
1.9350322087605794,0.025636222028987177,0.2539784908294678,0.00720467193483216,0.8,0.2,3,250,2,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.2, 'model__max_depth': 3, 'model__n_estimators': 250, 'model__reg_lambda': 2, 'model__subsample': 0.8}",0.9704279377528389,0.9708567057155346,0.9680691386314579,0.9697845940332771,0.0012255749448542043,6,0.9727307630179534,0.9732398518448364,0.9734015049656531,0.9731240399428143,0.0002858122782392994
2.0116763909657798,0.03338129802510683,0.26291322708129883,0.00684815772812797,0.8,0.2,5,150,1,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.2, 'model__max_depth': 5, 'model__n_estimators': 150, 'model__reg_lambda': 1, 'model__subsample': 0.8}",0.970267392816188,0.9710712271067863,0.9682832266956511,0.9698739488728751,0.0011717039374402871,5,0.9749274368689695,0.9753561356244939,0.97573204906814,0.9753385405205345,0.0003287170906478714
2.069718599319458,0.02763563003525541,0.2611800829569499,0.013136126517661925,0.8,0.2,5,150,2,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.2, 'model__max_depth': 5, 'model__n_estimators': 150, 'model__reg_lambda': 2, 'model__subsample': 0.8}",0.9697851070697041,0.9711248739037658,0.9681224773874644,0.9696774861203115,0.0012280833065759686,9,0.9745523359074812,0.9748738630161256,0.9755712969345404,0.9749991652860491,0.0004253201835498599
3.011760155359904,0.0663101580181425,0.2806966304779053,0.02340678413796633,0.8,0.2,5,250,1,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.2, 'model__max_depth': 5, 'model__n_estimators': 250, 'model__reg_lambda': 1, 'model__subsample': 0.8}",0.9703750117609858,0.9713391013318542,0.968926000478549,0.970213371190463,0.0009917525523317184,1,0.9789188735790648,0.9791867975431675,0.9788928749112931,0.9789995153445084,0.00013285317492731306
2.762521266937256,0.17974665447007698,0.19991135597229004,0.039185777762318505,0.8,0.2,5,250,2,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.2, 'model__max_depth': 5, 'model__n_estimators': 250, 'model__reg_lambda': 2, 'model__subsample': 0.8}",0.9704285148514851,0.9717144478482163,0.9679616816906182,0.9700348814634397,0.0015571392340959097,3,0.978383139743717,0.9790527772037873,0.9785981262144133,0.978678014387306,0.00027915368778792853
